title,body,date,customer_name,customer_profile_link,verified_purchase,country,image_count,video_count,helpful_count,rating,style_attributes
A chocolate lovers approval,I use about 2/3 the recommended amount which gives me great flavor and nutrition. I use fresh raspberries and pineapple for a very flavorful treat. Also use blueberries and pineapple and the taste is great...,18-Mar-24,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AE2OB35MVTSSY3R47KO7DUZMXCZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Taste great,Smels and taste and overall I love it,26-Mar-24,diane lovely,https://www.amazon.com/gp/profile/amzn1.account.AEE36RYSJZPFPCHN76GDYXJHABWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
The chocolate flavor is tasty!,Love this powder so far. Taste GREAT!!,27-Mar-24,Antoinette Dunn,https://www.amazon.com/gp/profile/amzn1.account.AFIJD6OX2XUSF2INSGF5F7IVCUWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Love this supplement!,This supplement has a great taste. It���s a little easier to dissolve into smoothies and shakes than hot stuff but I do put it in my hot chocolate every once in a while,05-Mar-24,Mokha,https://www.amazon.com/gp/profile/amzn1.account.AFHFXP7AHHYK2L56QBN7HRDCH2IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Yummy,I have a water based shake every morning. Love it! helps with my weight loss.,16-Mar-24,maureen,https://www.amazon.com/gp/profile/amzn1.account.AG2SYNYYYKZ7BBZKIPTAGFW2OQDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Good flavor add to a smoothy.,Make a great smoothy with frozen kale & banana,20-Mar-24,Mario,https://www.amazon.com/gp/profile/amzn1.account.AE4K7CUBKTDVIB4NZYGIJ4CL63KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,1,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Great taste and great price !,"I make a smoothie every morning with this and it holds me over until lunch. If I were to buy it and CVS, Walgreens or Rite Aid it���s $27.
You almost feel like how can it taste so good and it���s still healthy!",17-Feb-24,Lisa Regina Cobe,https://www.amazon.com/gp/profile/amzn1.account.AFD7PKNFEZZUNSZOGJMGNEGO5VXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,3,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
my naturopath recommended.,"the taste is super nice, because it doesnt tastes much anything - which I love because I can do with whatever fruit that will be good.
I take it everyday.",20-Feb-24,Livia,https://www.amazon.com/gp/profile/amzn1.account.AFWHVLLTF4AG2SET2T6OZ4FELCEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 2)'}
Easy to use,This colliggen powder will do solve in any liquid and that is why I love it,27-Feb-24,windelle,https://www.amazon.com/gp/profile/amzn1.account.AH6T6QVCUUX2EZPBGTOFET24VRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Love Nature's Bounty Products,I have been drinking one 8 oz glass for a week and loving it. I don't always eat a balanced diet so feel good knowing I'm getting the vitamins and protein I need every day. It tastes great!,08-Feb-24,Cheryl Leeds,https://www.amazon.com/gp/profile/amzn1.account.AFU2PY7QVXC6GLCJ4FCL2SZX2FNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Like IT,Delicious,01-Mar-24,Love it.,https://www.amazon.com/gp/profile/amzn1.account.AGVRRVVF6RXTZ6N7F4X22HWQRZTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Tastes good! Needed Nutrients!,"I don't always have an appetite in the morning or early afternoon, so a shake or smoothie with nutrients can be just what I need. I enjoy this straight, but also love to add things to blend with it...like strawberries, banana, and or peanut butter! There's a very slight vitamin like taste, because....vitamins...but it's very very minimal and the rich chocolate flavor outweighs that for me.",17-Jan-24,Mystical Rainbow ~ Kaci McCall,https://www.amazon.com/gp/profile/amzn1.account.AH6ZWG5XZ5VJ3AYA4QWEX3UWFLSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,6,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Good,I did price checking and this is the best. I put it on auto order so not having to shop around for it.,08-Feb-24,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGXNTOXXCLOVRADDQOP2JDOVLQFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Protein Powder,My first time trying this Protein Powder and it���s very smooth and it digest well. Can���t wait to see how my journey goes.,02-Feb-24,Tai,https://www.amazon.com/gp/profile/amzn1.account.AHPRLW6KXGRY5LQJMATMQCRIB2XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
I stock up when Amazon has these on sale,"This is the best tasting chocolate protein powder I've tried, it doesn't taste like a chemical sweetener. It mixes well into shakes or is great simply mixed into your favorite type of milk. Lots of vitamins and collagen is the cherry on top.",17-Jan-24,Melissa Bolotow,https://www.amazon.com/gp/profile/amzn1.account.AGO53XYXF4PAUZ4GGPHJJBW4I26Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,10,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
My favorite protein powder,"This is delicious & I love that I���m getting some extra vitamins and minerals. The taste is bold, slightly gritty/chalky (but I actually like that). Much better taste & consistency than any whey powders or plant based powders I���ve had, no green vegetables taste like most plant proteins.
This is great by itself with water or milk, or with frozen canned pumpkin or fruits. It���s also great to mix in plain Greek yogurt, it gets really thick like the texture of can frosting and packed full of protein and vitamins.
For me the price is worth it because it���s a multivitamin and protein powder and it���s the best tasting I���ve had.",07-Nov-23,Grace,https://www.amazon.com/gp/profile/amzn1.account.AEVAQBJ5VFDBLPG7RSPQRHU2ECFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,19,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
"Excellent with any milk, great as a morning meal base.","My doc recommended I increase my protein and reduce empty calories as a 57 year old with a healthy weight. I've been using this shake mix for over a year with excellent results. I mix it with almond or oat milk, and even with water if I'm out of milk. It takes any fruit very well, I add berries, kiwi, banana, pear... all pair well with the vanilla flavor. My energy and stamina are definitely improved in the morning when I drink this on my way to work. Some might find it a bit too sweet so go with unsweetened milk or water, this keeps the per serving calorie count to less than 200 for me.",20-Oct-23,Behaviorizm101,https://www.amazon.com/gp/profile/amzn1.account.AFKFXOAPDPZ3P47YCRW7NSAWGT4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,8,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Natures bounty is Very tasty. The other undrinkable.,"I though the other brand would be cheaper because only us one scoop, not two but it's 3 times bigger. It also tastes vitamin like, to me. Terrible after taste.",20-Jan-24,Holly Baker,https://www.amazon.com/gp/profile/amzn1.account.AEI3M4TNHRZRXY22U4YSX5QWYZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,1,0,8,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Taste good,I���ve bought this a few times because it taste pretty good compared to other proteins.,31-Jan-24,tishanna,https://www.amazon.com/gp/profile/amzn1.account.AGWCJWHBKKTPA2C7YFA3SWSVG75Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
I really love the flavor & how smooth it is !,I like how well it mixes and I can would recommend it to my friends !,30-Jan-24,Connie Gilmore,https://www.amazon.com/gp/profile/amzn1.account.AHR6BDN3XZFID4NH7JLWI2PJYTAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,3,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Good product,I love that it has so many vitamins in it. I add carnation instant breakfast to my shakes before blending for the extra nutrients and calories. This shake dissolves good and taste as good as the high dollar ones I���ve bought. It has some vitamins that many shake protein powders do not have. Mix it with a Fair life Elite milk and you have a powerhouse of a protein shake.,28-Oct-23,Tracy Hays,https://www.amazon.com/gp/profile/amzn1.account.AFTRTC5JWGVJ5W5ENQINIHJY7DIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,7,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
mix it in yogurt it's delicious,"Great taste, I didn't like the aftertaste when you mix it with water. But when you add the yogurt or baking, it's awesome.",28-Dec-23,Huma A.,https://www.amazon.com/gp/profile/amzn1.account.AFY5F3PHK7F6MOVMVXKWTF6UZ6KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Delicious,I have bought SO many protein shakes and this one is by far so good!!! Cost effective and amazing!,01-Jan-24,Jenn Jenn,https://www.amazon.com/gp/profile/amzn1.account.AGY6LTNUCNX3R45UBOULPLCUE47Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,6,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Hunger-Curbing Protein Shake,"When I first went looking for a protein drink, my main goal was to find a protein powder that was filling, tasted good, and also provided a bit of nutrition. I did quite a bit of research - comparing Slim Fast, ViSalus, and Premier Protein among others. One of my colleagues was nice enough to let me try one of her chocolate Premier protein shakes. After trying it (it had 30 grams of protein - tasted pretty good) I was still hungry after a couple of hours, which was disappointing to me, considering how much protein was in the shake. When I ran across this shake, I was intrigued that it had not only protein, but vitamins and digestive enzymes as well. I was definitely hooked, also when I saw the various reviews stating how delicious and filling the shakes were. I decided to take a chance on these shakes and ordered the decadent chocolate.

A week and a half later, I have been consistently replacing one to two meals a day with two scoops of the protein powder, mixed with two tablespoons of PB2 powdered peanut butter and 8oz - 12 oz unsweetened vanilla almond milk. I mix this together in a blender bottle and it tastes just like a more liquidy peanut butter chocolate milkshake. Mixing the almond milk, PB2, and protein powder, I stay consistently full at work from breakfast until lunch hour - around 4 hours without any hunger pains.

I highly recommend purchasing this shake. I just recently purchased my second container of this powder a couple days ago. Due to the addition of the digestive enzymes and the vitamins, I store the powder in the refrigerator, along with the almond milk. It doesn't say anywhere on the container that you need to do that, but I do it anyway as an added precaution. Also: the powder does come with a scoop in the container. I had to literally dig around in the container to find it, as the powder had buried it, but I eventually found it. If you order this powder, you will not be disappointed. It's definitely a protein powder, but it doesn't taste like one - it is very palatable. You can't go wrong.",08-Jun-14,TiredTwinMom,https://www.amazon.com/gp/profile/amzn1.account.AGO5IQD4QOJNHQBAWHOIFSVZJIJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,25,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Alternative to Shakeology--Curbs Appetite 4-5 hours,"First of all, Shakeology is expensive as heck! I was looking for a cheaper alternative and this is by far the best protein shake alternative I've ever had. No side effects, and it did take some getting used to. Now, since seriously overweight, my doctor recommended me to do protein shakes for breakfast/lunch, three snacks, and a portion controlled dinner.

This protein shake only offers 15g of protein, and my doctor recommends that I have at least 60g of protein per day. So what I do is double up. I drink two shakes in the morning, two at lunch, and then dinner! When I first started using, I was STARVING. 15g is not going to curb appetite at all! So once I started doubling up, that is when I actually when I saw results. By lunch, I had to force myself to drink the shakes because I was not hungry at all!

Amazon actually accidentally sent me Vanilla when I ordered chocolate, so I can't tell you on the taste. They sell the chocolate flavor at my local Walgreens, so I may just stop there and pick up. I already have another on the way to me and this is so affordable, I'm going to go ahead and stockpile.

I mixed with 2% milk and a banana every time. It is so tasty. Next round I'm going to add some ice, as this shake is super tasty when ice cold.

Weightloss: Because this shake actually curbs my appetite so well, I'm losing 2-4 pounds per week, which I think is great! Some weeks I lose 8 or more pounds, but my loss varies depending on my diet and portion control at dinner. On weekends, I do have a cheat day where I order takeout. I also have a ton of energy from this. I follow this regime with 5 bottles of water and a One Daily women's mult-vitamin.

Side effects: There was some minor gas/bloating the first week, but that has subsided.

This is by far the best weight loss product I've had.",14-Aug-18,Jennifer Moore,https://www.amazon.com/gp/profile/amzn1.account.AH6GY5W5RXTR32324S3CJBISOYYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,27,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Sabor malo,No me gust�� el sabor sabe como aceite de bacalao me imagino que por el DHA PENS�� IVA A SABER A CHOCOLATE. Solo la prob��. ����,18-Dec-23,Iandra,https://www.amazon.com/gp/profile/amzn1.account.AHVCLNFWGH4S2HTUMUL5JF5W5ZIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Buen producto,Buen producto y buen sabor,14-Jan-24,Johalba,https://www.amazon.com/gp/profile/amzn1.account.AEILFX5KTO3XPM3BCOTNNHCAWQVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Love Love Love this stuff!!,"I absolutely love this stuff! I'm on my 4th week of having this as a breakfast replacement and I've notice so much of a difference in my energy and even lost 5 pounds (not currently doing any exercise to aid). I was never much of a breakfast eater to begin with, but I wanted to boost my metabolism and researched that it's best to start with having breakfast everyday; I was also not getting my daily source of vitamins in the food I was consuming since I don't have the best eating habits. My skin has cleared up so much more and my nails are growing a lot faster and stronger (I've always had very brittle nails and can barely get them to grow w/o breaking). I love that this has all of my daily vitamins needed and many other benefits, such as probiotics, as I've had digestion issues the past several months. My breakfast combo for this is: 2 scoops of the protein/vitamin powder, 1 scoop of PB2 (powdered peanut butter); a handful or so of crushed ice and 8oz. of organic 1% milk; I shake it all up in my Blender Bottle and it's like having a delicious chocolate milk for breakfast; keeps me full for several hours and the taste is great!

The only downfall from ordering this from Nature's Bounty is that it has a purchase limit of 1 per order and you can't order more after a certain amount of time. If you have this everyday as a meal supplement as I do, this technically is only about a 2 week supply. I've signed up for the subscribe and save since I plan to continue using this, but the only option is monthly (1mo, 2mo,3mo+), which doesn't help when I need 2 of these a month. You can't beat the price, though, from it being sold by Nature's Bounty, so separate orders are what I suppose I'll have to do.

GREAT product!",16-May-17,Britt V.,https://www.amazon.com/gp/profile/amzn1.account.AEED3ORIJMYHZT7DIVSTVE4ELQDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,7,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Muy buena,Muy buena,19-Jan-24,Isa Alcivar,https://www.amazon.com/gp/profile/amzn1.account.AH4FDCFTB7VJINKW7G3M4ES5I3EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Great taste!,This protein powder actually tastes great and I can tell a difference in my body from the vitamins! I���m almost through my second container! I wish I could buy a larger container but this still last a few weeks.,09-Nov-23,L. E.,https://www.amazon.com/gp/profile/amzn1.account.AEFBTSV2UTNWKALPOXXX64KOAZKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
"Best Protein For Your Buck, Hands Down.","I originally bought this because, like many here, I was seeking a replacement for Shakeology. I'm a big fan of the Vegan Chocolate Shake-o (for taste, not Vegan designation), but I'd rather not get a second job or take out a second mortgage to afford it. I bought a gaggle of protein shakes in an attempt to find a suitable replacement. Vega One Chocolate was okay, but not the robust chocolate flavor I was looking for, and it had a green tint and got sorta chunky if didn't drink it right away. Yuck. Orgain Organic Meal has a good taste...again, not as chocolate-y as I'd hoped, and still pricey at $60+ for a month's supply.

Enter the winner: Nature's Bounty Chocolate.

People will ask about the price? It's right in my budget. If you watch for deals, you can get this at $8/tub (2 tubs covers a month). Stock up. Nutritionally, it's pretty solid. Less sugar than Shake-o, missing some of the other magic ingredients (ashwaganda, anyone?), but a solid meal replacement that doesn't leave me starving an hour later. The taste? The closest thing I can liken it to is powdered Swiss Miss hot chocolate mix. If I spoon it from a travel container into my shaker cup, I lick the spoon. I've even made it warm...and it tastes pretty good. In my opinion, this stuff doesn't need a bunch of fruit and fancy stuff to make it taste good. I just toss it in with almond milk in my shaker cup and some ice, and I'm golden. It blends well, doesn't leave chunks, all the magic things you're seeking. I've also tried it with spinach, frozen fruit, ginger, all the other awesome smoothie ingredients and it's still pretty bomb.",28-Feb-18,Marla,https://www.amazon.com/gp/profile/amzn1.account.AHEEI3WURIMHDPUXYMNVL4ACI4PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,4,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Hair and skin,"I've been using for some time now, and besides its nutritional benefits, I've noticed a positive impact on my hair and skin. My complexion looks clearer, and my hair feels healthier and shinier. This product seems to have a positive effect on overall well-being, including hair and skin health. Highly recommended!",26-Sep-23,Le,https://www.amazon.com/gp/profile/amzn1.account.AFRG5FGCFFCSGOZAMWYLJQIONHYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,6,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Just try it,"I���ve been taking this for YEARS now. I mix with Barlean���s greens chocolate; 30 calories a scoop, Ancient Nutrition chocolate collagen; 20 calories scoop and GoodKarma flax milk 8 ounces, 25 calories (1000mg of omegas in that), garden of life prebiotic fiber also, 20 calories a scoop I think on that one. I periodically mix in L-Theanine & Mushroom blend depending on mood. The days I don���t have my custom shake I feel okay.....but after 2-3 days if I get busy with my kids in the morning and forget suddenly I start getting ��ber sluggish. I have a deficiency of sorts that I can���t pinpoint exactly but whatever my diet is missing it���s in my magic mix LOL I have anxiety disorder also (my entire life from my earliest childhood memories) and anemia, this seems to help both. I hope this helps someone. I���m not a doctor and I���m doing what���s right for me but this may reach someone.

Oh I also have PCOS and the extra fiber helps androgen function. Google this. I didn���t know this and it has truly saved my life. I lost 50 lbs in 2020z Winning! Anyways this product seems cheap but I don���t have any negative side effects.

I would like a certification that it���s hexane free but sadly 90% of powders do.

Darnit.",28-Dec-20,Darling Harlet,https://www.amazon.com/gp/profile/amzn1.account.AHJATMQAWS7LNWFU7UPKS3DRSX4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,4,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
This is a great tasting shake!,Blend with really cold water and some frozen fruit ( my favorite is cherries or blueberries) and it is great morning to breakfast. Best if used with a blender not a shaker. I���ve been using it for 2 months and I love it! I just wish they���d sell more then 1lb at a time.,17-Sep-23,Veronica,https://www.amazon.com/gp/profile/amzn1.account.AF23AX4RKYHT4PIQV4OBP22LV2EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,3,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
